"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
60,428065,3353799,45547678,10.31,1.8727,1.8727,14.2336,34451576
120,397521,4654514,70348696,10.31,2.4802,2.4802,21.9840,56895014
180,294982,5751544,91368494,10.31,2.9607,2.9607,28.5527,76245900
240,323530,6637693,109664415,10.31,3.3383,3.3383,34.2701,93668554
300,232644,7383487,125602685,10.31,3.6574,3.6574,39.2508,109076612
360,232316,7987057,140212477,10.31,3.9246,3.9246,43.8164,124014390
420,207699,8485739,153568145,10.31,4.1414,4.1414,47.9900,138008544
480,204926,8970636,165928030,10.31,4.3393,4.3393,51.8525,150941754
540,157954,9408039,176674981,10.31,4.5279,4.5279,55.2109,162021549
600,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
660,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
720,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
780,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
840,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
900,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
960,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
1020,0,9764026,186000010,10.31,4.6795,4.6795,58.1250,171810008
1080,3356,9764773,186116838,10.31,4.6797,4.6797,19.4115,171904693
1140,6126,9766571,186369409,10.31,4.6805,4.6805,19.4904,172124513
1200,8744,9769414,186774556,10.31,4.6817,4.6817,19.6171,172478913
1260,18008,9774541,187491905,10.31,4.6837,4.6837,19.8412,173134368
1320,23688,9783481,188529983,10.31,4.6871,4.6871,20.1656,174083258
1380,46510,9796952,189941226,10.31,4.6920,4.6920,20.6066,175369009
1440,7854,9809757,191499664,10.31,4.6967,4.6967,21.0937,176866243
1500,12506,9826059,192802549,10.31,4.7029,4.7029,21.5008,178062368
1560,69048,9845217,194486982,10.31,4.7104,4.7104,22.0272,179688837
1620,16069,9880282,197031752,10.31,4.7235,4.7235,22.8224,182186795
1680,104367,9907499,199115786,10.31,4.7340,4.7340,23.4737,184283735
1740,9010,9922906,200245504,10.31,4.7397,4.7397,23.8267,185417291
1800,22235,9953533,202084000,10.31,4.7513,4.7513,24.4013,187207234
1860,11640,9968980,203026840,10.31,4.7571,4.7571,24.6959,188157013
1920,27500,10011916,205572429,10.31,4.7736,4.7736,25.4914,190751956
1980,7257,10028898,206664375,10.31,4.7798,4.7798,25.8326,191858843
2040,37572,10076484,209713987,10.31,4.7989,4.7989,26.7856,194939128
2100,23726,10107773,211655231,10.31,4.8113,4.8113,27.3923,196893475
2160,13741,10134540,213607526,10.31,4.8207,4.8207,28.0024,198859259
2220,60682,10186487,216582164,10.31,4.8386,4.8386,28.9319,201965171
2280,23807,10226638,218861102,10.31,4.8542,4.8542,29.6441,204250182
2340,60821,10293161,222303790,10.31,4.8793,4.8793,30.7199,207757380
2400,42625,10357106,225810833,10.31,4.9022,4.9022,31.8159,211305689
2460,72102,10459111,231031935,10.31,4.9381,4.9381,33.4475,216630514
2520,99946,10581059,237298250,10.31,4.9819,4.9819,35.4057,223171369
2580,128488,10728079,244195758,10.31,5.0322,5.0322,37.5612,230292356
2640,129443,10919948,252542659,10.31,5.0972,5.0972,40.1696,239023086
2700,140454,11138961,261606717,10.31,5.1820,5.1820,43.0021,248531057
2760,213099,11394555,271130034,10.31,5.2808,5.2808,45.9781,258356454
2820,121005,11657910,280975791,10.31,5.3745,5.3745,49.0549,268495195
2880,167384,11933425,290841523,10.31,5.4771,5.4771,52.1380,278709769
2940,151523,12178988,299917164,10.31,5.5726,5.5726,54.9741,288099036
3000,143839,12431164,308938430,10.31,5.6672,5.6672,57.7933,297485759
3060,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3120,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3180,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3240,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3300,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3360,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3420,0,12461094,310000010,10.31,5.6787,5.6787,58.1250,298598655
3480,14361,12463192,310549887,10.31,5.6795,5.6795,19.5468,299075024
3540,293621,12501380,316032229,10.31,5.6914,5.6914,21.2601,304053179
3600,333934,12823904,336156583,10.31,5.8116,5.8116,27.5489,322112950
3660,300091,12998620,345594587,10.31,5.8863,5.8863,30.4983,330916219
3720,285722,13360801,362719555,10.31,6.0465,6.0465,35.8499,347500391
3780,247315,13679207,377667102,10.31,6.1775,6.1775,40.5210,362371196
3840,227161,13978060,391439603,10.31,6.2933,6.2933,44.8249,376256200
3900,200396,14219900,403231897,10.31,6.3837,6.3837,48.5100,388545161
