"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
60,3069739,2059496,177998332,10.31,1.2609,1.2609,0.0000,55233130
120,3073290,3110244,358409508,10.31,1.8107,1.8107,0.0000,112226327
180,3051982,3803278,540322146,10.31,2.1650,2.1650,0.0000,169924108
240,2888773,4496567,724720776,10.31,2.5204,2.5204,0.0000,228400595
300,3126097,5196196,902211212,10.31,2.8592,2.8592,0.0000,284807667
360,3003081,5794582,1086500715,10.31,3.1421,3.1421,0.0000,343346292
420,2984533,6273712,1267847168,10.31,3.3490,3.3490,0.0000,401094891
480,3005740,6808108,1450620691,10.31,3.5929,3.5929,0.0000,459250287
540,3060711,7282935,1633749713,10.31,3.8022,3.8022,0.0000,517469668
600,3044843,7642492,1816539293,10.31,3.9613,3.9613,0.0000,575728504
660,3143008,7910139,2000872125,10.31,4.0824,4.0824,0.0000,634549535
720,3029397,8262875,2186608110,10.31,4.2305,4.2305,0.0000,693722187
780,3091356,8545992,2371512040,10.31,4.3529,4.3529,0.0000,752608197
840,2997750,8845366,2556774242,10.31,4.4894,4.4894,0.0000,811500542
900,3069321,9110189,2741911290,10.31,4.5999,4.5999,0.0000,870477215
960,2999343,9365899,2924541281,10.31,4.7069,4.7069,0.0000,928793824
1020,3134317,9658496,3109571267,10.31,4.8165,4.8165,0.0000,987763226
1080,3130176,9958196,3295424622,10.31,4.9372,4.9372,0.0000,1046971840
1140,3000759,10280615,3481447577,10.31,5.0763,5.0763,0.0000,1106251918
1200,3020759,10579966,3662620788,10.31,5.2026,5.2026,0.0000,1164121935
1260,3057435,10847074,3846185801,10.31,5.3022,5.3022,0.0000,1222713451
1320,3082497,11064174,4031367586,10.31,5.3820,5.3820,0.0000,1281805694
1380,3114867,11267793,4218294807,10.31,5.4642,5.4642,0.0000,1341344288
1440,3036470,11514234,4405588121,10.31,5.5710,5.5710,0.0000,1401091993
1500,3121991,11727303,4591610009,10.31,5.6505,5.6505,0.0000,1460400953
1560,3001184,11941511,4776109547,10.31,5.7321,5.7321,0.0000,1519247159
1620,3215827,12187531,4960714788,10.31,5.8092,5.8092,0.0000,1578070443
1680,3138029,12414641,5150085142,10.31,5.8819,5.8819,0.0000,1638273283
1740,2978061,12606393,5332708271,10.31,5.9472,5.9472,0.0000,1696516433
1800,3204801,12794076,5514106867,10.31,6.0136,6.0136,0.0000,1754397237
1860,2948115,13028620,5699562670,10.31,6.0975,6.0975,0.0000,1813417866
1920,3000425,13263163,5883635166,10.31,6.1803,6.1803,0.0000,1872081890
1980,3160230,13459250,6067644054,10.31,6.2478,6.2478,0.0000,1930829975
2040,3135304,13637194,6254935839,10.31,6.3116,6.3116,0.0000,1990614224
2100,3165706,13795500,6443390675,10.31,6.3709,6.3709,0.0000,2050677751
2160,3149412,13982352,6631096294,10.31,6.4342,6.4342,0.0000,2110432785
2220,3068882,14186704,6815002036,10.31,6.5168,6.5168,0.0000,2169158495
2280,3021715,14427857,7001356648,10.31,6.6310,6.6310,0.0000,2228503947
2340,2995689,14610809,7188921256,10.31,6.7021,6.7021,0.0000,2288265983
2400,3145003,14763538,7373143792,10.31,6.7608,6.7608,0.0000,2347077941
2460,3119583,14904126,7560333511,10.31,6.8138,6.8138,0.0000,2406823116
2520,3133404,15096083,7745648511,10.31,6.8812,6.8812,0.0000,2465855949
2580,3101533,15324741,7929841671,10.31,6.9703,6.9703,0.0000,2524598814
2640,3180989,15490290,8115603421,10.31,7.0295,7.0295,0.0000,2583842069
2700,3050431,15651990,8303509914,10.31,7.0847,7.0847,0.0000,2643719315
2760,3208428,15802827,8489287813,10.31,7.1346,7.1346,0.0000,2702948800
2820,2981042,15969248,8674544883,10.31,7.1912,7.1912,0.0000,2762018869
2880,3067597,16130466,8858569180,10.31,7.2444,7.2444,0.0000,2820804412
2940,3084680,16382370,9043417984,10.31,7.3419,7.3419,0.0000,2879690423
3000,3035203,16594377,9226764788,10.31,7.4343,7.4343,0.0000,2938134952
3060,3148910,16755091,9413872607,10.31,7.4938,7.4938,0.0000,2997778240
3120,3087574,16884824,9601729692,10.31,7.5358,7.5358,0.0000,3057655781
3180,3106447,16982910,9786579538,10.31,7.5686,7.5686,0.0000,3116719157
3240,3002318,17139652,9974240028,10.31,7.6260,7.6260,0.0000,3176599742
3300,3128050,17341716,10158313861,10.31,7.6911,7.6911,0.0000,3235323236
3360,3114559,17512440,10342569557,10.31,7.7522,7.7522,0.0000,3294218373
3420,3156484,17662531,10527396556,10.31,7.8037,7.8037,0.0000,3353203999
3480,3050566,17832663,10713985091,10.31,7.8680,7.8680,0.0000,3412643315
3540,3104624,17999118,10897771848,10.31,7.9454,7.9454,0.0000,3471164513
3600,3169451,18126138,11085921914,10.31,7.9923,7.9923,0.0000,3530972924
3660,3075056,18253767,11217039758,10.31,8.0342,8.0342,0.0000,3572626154
3720,3209771,18412995,11406387171,10.31,8.0909,8.0909,0.0000,3632717470
3780,3214631,18536810,11595989544,10.31,8.1364,8.1364,0.0000,3693000652
3840,3087382,18678685,11781354564,10.31,8.1917,8.1917,0.0000,3752012360
3900,3109809,18848459,11968857615,10.31,8.2615,8.2615,0.0000,3811640493
3960,3127549,19016048,12157679095,10.31,8.3331,8.3331,0.0000,3871693837
4020,3082992,19167586,12342192340,10.31,8.3900,8.3900,0.0000,3930509364
4080,3108342,19287057,12528393535,10.31,8.4385,8.4385,0.0000,3989739252
4140,3160771,19464078,12714811778,10.31,8.4948,8.4948,0.0000,4048987850
4200,3143964,19613171,12902753039,10.31,8.5488,8.5488,0.0000,4108761481
4260,3152817,19770569,13090351414,10.31,8.6110,8.6110,0.0000,4168533768
4320,3065588,19906910,13275477174,10.31,8.6592,8.6592,0.0000,4227616099
4380,3116468,20057646,13460732958,10.31,8.7175,8.7175,0.0000,4286698233
4440,3222837,20210977,13648675493,10.31,8.7709,8.7709,0.0000,4346639927
4500,3215284,20340575,13841529701,10.31,8.8172,8.8172,0.0000,4407916511
4560,3072901,20568606,14029210992,10.31,8.9460,8.9460,0.0000,4467654238
4620,3100425,20724032,14216360506,10.31,9.0129,9.0129,0.0000,4527293142
4680,3098005,20845928,14402187580,10.31,9.0618,9.0618,0.0000,4586665368
4740,3171215,20982378,14588709233,10.31,9.1147,9.1147,0.0000,4646167327
4800,3131222,21116707,14777283235,10.31,9.1707,9.1707,0.0000,4706212152
4860,2985635,21232946,14964743495,10.31,9.2149,9.2149,0.0000,4765947577
4920,3100725,21340661,15150278631,10.31,9.2546,9.2546,0.0000,4825165346
4980,3064655,21477470,15338162288,10.31,9.3069,9.3069,0.0000,4885042580
5040,3138993,21582487,15527154439,10.31,9.3425,9.3425,0.0000,4945215556
5100,3178672,21709336,15714432545,10.31,9.3846,9.3846,0.0000,5004943395
5160,3163599,21818929,15903848252,10.31,9.4222,9.4222,0.0000,5065172737
5220,2965502,21978472,16088797387,10.31,9.4745,9.4745,0.0000,5124148331
5280,3073698,22088556,16274598073,10.31,9.5066,9.5066,0.0000,5183374490
5340,3155326,22238399,16461290565,10.31,9.5557,9.5557,0.0000,5242925580
5400,3170458,22353777,16650726360,10.31,9.5904,9.5904,0.0000,5303199793
5460,3166753,22448521,16836394177,10.31,9.6188,9.6188,0.0000,5362479155
5520,3157625,22563761,17024050835,10.31,9.6540,9.6540,0.0000,5422307571
5580,3087790,22659873,17212283200,10.31,9.6882,9.6882,0.0000,5482271477
5640,3167615,22775588,17398357001,10.31,9.7269,9.7269,0.0000,5541649262
5700,3206252,22906696,17587932320,10.31,9.7824,9.7824,0.0000,5602032281
5760,3193954,23017010,17775223899,10.31,9.8181,9.8181,0.0000,5661671910
5820,3098079,23150817,17964298503,10.31,9.8684,9.8684,0.0000,5721816462
5880,3125807,23286641,18150730579,10.31,9.9179,9.9179,0.0000,5781156995
5940,3125156,23398022,18338376366,10.31,9.9585,9.9585,0.0000,5840825075
6000,3220556,23505176,18525620292,10.31,10.0006,10.0006,0.0000,5900590766
6060,3160845,23592767,18713242542,10.31,10.0304,10.0304,0.0000,5960504566
6120,3174303,23682876,18903004006,10.31,10.0629,10.0629,0.0000,6020963162
6180,3130331,23776182,19091039192,10.31,10.0928,10.0928,0.0000,6080979171
6240,3091497,23939450,19278930077,10.31,10.1824,10.1824,0.0000,6140794417
6300,3067008,24080754,19466395252,10.31,10.2323,10.2323,0.0000,6200496075
6360,2969860,24244073,19650197668,10.31,10.2793,10.2793,0.0000,6259188165
6420,3190557,24359944,19835164971,10.31,10.3212,10.3212,0.0000,6318231876
6480,3136765,24487628,20020707773,10.31,10.3673,10.3673,0.0000,6377592872
6540,3196324,24608500,20210258587,10.31,10.4031,10.4031,0.0000,6437950320
6600,3081680,24731638,20400856811,10.31,10.4456,10.4456,0.0000,6498581775
6660,3138126,24857440,20588727078,10.31,10.4931,10.4931,0.0000,6558543623
6720,3197694,24957666,20776788973,10.31,10.5253,10.5253,0.0000,6618509969
6780,3158916,25071876,20965349916,10.31,10.5720,10.5720,0.0000,6678669561
6840,3075582,25182328,21152346856,10.31,10.6064,10.6064,0.0000,6738312495
6900,3135604,25310706,21338091672,10.31,10.6431,10.6431,0.0000,6797579204
6960,3074675,25435735,21525222782,10.31,10.6840,10.6840,0.0000,6857122332
7020,3133717,25534466,21712605280,10.31,10.7140,10.7140,0.0000,6916904471
7080,3161908,25665674,21900108998,10.31,10.7542,10.7542,0.0000,6976748450
7140,3095254,25773366,22087163535,10.31,10.7918,10.7918,0.0000,7036479946
7200,3114744,25914181,22275421685,10.31,10.8508,10.8508,0.0000,7096521909
7260,3099062,25994330,22403679643,10.31,10.8807,10.8807,0.0000,7137432971
7320,3085052,26095703,22589919336,10.31,10.9212,10.9212,0.0000,7196852822
7380,3214747,26199825,22778112955,10.31,10.9608,10.9608,0.0000,7256900145
7440,3045350,26329856,22963077123,10.31,11.0140,11.0140,0.0000,7316033737
7500,3139975,26461261,23149837614,10.31,11.0693,11.0693,0.0000,7375554774
7560,3175489,26557392,23338339741,10.31,11.1058,11.1058,0.0000,7435605551
7620,3218127,26641226,23528969383,10.31,11.1345,11.1345,0.0000,7496262838
7680,3214196,26739211,23717989263,10.31,11.1722,11.1722,0.0000,7556429741
7740,3105335,26831779,23904485313,10.31,11.2070,11.2070,0.0000,7615995932
7800,3156584,26925011,24092109053,10.31,11.2398,11.2398,0.0000,7675833583
7860,3212216,27026377,24277827357,10.31,11.2802,11.2802,0.0000,7735059142
7920,3151933,27138990,24466563087,10.31,11.3271,11.3271,0.0000,7795189863
7980,3052554,27225721,24653512150,10.31,11.3569,11.3569,0.0000,7854911855
8040,3148471,27306000,24840380622,10.31,11.3806,11.3806,0.0000,7914553394
8100,2968696,27379669,25027829613,10.31,11.3997,11.3997,0.0000,7974301789
8160,3090450,27460093,25212510123,10.31,11.4236,11.4236,0.0000,8033269632
8220,3080085,27598898,25398277967,10.31,11.4629,11.4629,0.0000,8092647648
8280,3119732,27736286,25584432220,10.31,11.5038,11.5038,0.0000,8152165073
8340,2970742,27888795,25769437108,10.31,11.5599,11.5599,0.0000,8211372579
8400,3182289,28069733,25956182330,10.31,11.6438,11.6438,0.0000,8271027907
8460,3206667,28185834,26141980806,10.31,11.6904,11.6904,0.0000,8330436118
8520,3210916,28305492,26330212380,10.31,11.7393,11.7393,0.0000,8390540899
8580,3186898,28439345,26518807295,10.31,11.7881,11.7881,0.0000,8450857280
8640,3215800,28556803,26711040801,10.31,11.8331,11.8331,0.0000,8512242972
8700,2976610,28669049,26901429805,10.31,11.8716,11.8716,0.0000,8573003602
8760,3129391,28789892,27090700601,10.31,11.9165,11.9165,0.0000,8633479701
8820,3148335,28885587,27277232370,10.31,11.9508,11.9508,0.0000,8693142182
8880,3111892,29041229,27465317022,10.31,12.0136,12.0136,0.0000,8753264040
8940,3091773,29200697,27649492266,10.31,12.0861,12.0861,0.0000,8812218849
9000,3116607,29331345,27834735168,10.31,12.1475,12.1475,0.0000,8871556077
9060,3059943,29472730,28020481710,10.31,12.1978,12.1978,0.0000,8931082518
9120,3101717,29592076,28209016203,10.31,12.2424,12.2424,0.0000,8991413033
9180,3066031,29816309,28393897930,10.31,12.2988,12.2988,0.0000,9050505173
9240,3115024,29971946,28578789131,10.31,12.3474,12.3474,0.0000,9109623827
9300,3124394,30102715,28766189370,10.31,12.3858,12.3858,0.0000,9169547115
9360,3020969,30206382,28953959353,10.31,12.4131,12.4131,0.0000,9229520180
9420,3136114,30314486,29139936865,10.31,12.4502,12.4502,0.0000,9288977487
9480,3056693,30410917,29325720334,10.31,12.4857,12.4857,0.0000,9348579442
9540,3129634,30493173,29515075959,10.31,12.5148,12.5148,0.0000,9409079395
9600,3146688,30574610,29704735441,10.31,12.5428,12.5428,0.0000,9469626981
9660,3203000,30657433,29895129579,10.31,12.5684,12.5684,0.0000,9530333167
9720,3133342,30737680,30083334458,10.31,12.5969,12.5969,0.0000,9590468761
9780,3112251,30839774,30271556158,10.31,12.6362,12.6362,0.0000,9650650937
9840,3180136,30925440,30459918479,10.31,12.6671,12.6671,0.0000,9710964861
9900,3097929,31032270,30649297352,10.31,12.6963,12.6963,0.0000,9771502256
9960,3208911,31117920,30839502492,10.31,12.7239,12.7239,0.0000,9832242412
10020,3117045,31227753,31027690881,10.31,12.7721,12.7721,0.0000,9892295734
10080,3213232,31317155,31216699223,10.31,12.8103,12.8103,0.0000,9952621266
10140,3055520,31407382,31406661380,10.31,12.8482,12.8482,0.0000,10013273582
10200,3136309,31482008,31592067759,10.31,12.8775,12.8775,0.0000,10072627127
10260,3218494,31545450,31782239112,10.31,12.8994,12.8994,0.0000,10133258745
10320,3211918,31610508,31971793604,10.31,12.9220,12.9220,0.0000,10193690614
10380,3213417,31677534,32161638688,10.31,12.9444,12.9444,0.0000,10254340386
10440,3142676,31750148,32353100881,10.31,12.9694,12.9694,0.0000,10315363486
10500,3214096,31816731,32544282092,10.31,12.9941,12.9941,0.0000,10376246127
10560,3142263,31883566,32734079111,10.31,13.0165,13.0165,0.0000,10436825103
10620,3138337,31968185,32924000862,10.31,13.0465,13.0465,0.0000,10497549527
10680,3142961,32029274,33114517144,10.31,13.0708,13.0708,0.0000,10558461205
10740,3132946,32089988,33303359577,10.31,13.0940,13.0940,0.0000,10618899501
10800,3200133,32160286,33492392766,10.31,13.1161,13.1161,0.0000,10679340277
10860,3174203,32208938,33668458106,10.31,13.1345,13.1345,0.0000,10735556284
10920,3146241,32265071,33855069335,10.31,13.1505,13.1505,0.0000,10795458806
10980,3215500,32323416,34045930299,10.31,13.1716,13.1716,0.0000,10856486074
11040,3210438,32412826,34237643969,10.31,13.2026,13.2026,0.0000,10917777466
11100,3138628,32519682,34424769738,10.31,13.2383,13.2383,0.0000,10977748601
11160,3158446,32607133,34611428408,10.31,13.2723,13.2723,0.0000,11037451627
11220,3190889,32679607,34801824468,10.31,13.2960,13.2960,0.0000,11098284056
11280,3207559,32734588,34993396891,10.31,13.3132,13.3132,0.0000,11159551772
11340,3160031,32797273,35184786477,10.31,13.3339,13.3339,0.0000,11220719517
11400,3191113,32873884,35375471477,10.31,13.3635,13.3635,0.0000,11281695888
11460,3214809,32939309,35566959466,10.31,13.3824,13.3824,0.0000,11342812753
11520,3075375,33016049,35756641970,10.31,13.4076,13.4076,0.0000,11403443548
11580,3141047,33090930,35944761951,10.31,13.4309,13.4309,0.0000,11463623126
11640,3185126,33158164,36133114434,10.31,13.4538,13.4538,0.0000,11523853581
11700,3132915,33256016,36321637728,10.31,13.4912,13.4912,0.0000,11584090289
11760,3065056,33329282,36511437395,10.31,13.5151,13.5151,0.0000,11644742836
11820,3204804,33404112,36699483294,10.31,13.5343,13.5343,0.0000,11704917675
11880,3185301,33470925,36889379524,10.31,13.5563,13.5563,0.0000,11765509376
11940,3212583,33544113,37078858340,10.31,13.5820,13.5820,0.0000,11825992784
12000,3187849,33628311,37269805211,10.31,13.6168,13.6168,0.0000,11886852879
12060,3169717,33717638,37459075222,10.31,13.6386,13.6386,0.0000,11947225914
12120,3215139,33804199,37650120698,10.31,13.6608,13.6608,0.0000,12008141536
12180,3051678,33878572,37839231131,10.31,13.6812,13.6812,0.0000,12068514292
12240,3133141,33929457,38026870777,10.31,13.6991,13.6991,0.0000,12128421272
12300,3069322,33977323,38215237034,10.31,13.7165,13.7165,0.0000,12188542930
12360,3152375,34032779,38404105029,10.31,13.7332,13.7332,0.0000,12248775258
12420,3022221,34101520,38592060660,10.31,13.7608,13.7608,0.0000,12308743120
12480,3198029,34169224,38778798660,10.31,13.7897,13.7897,0.0000,12368309440
12540,3172855,34236207,38970338086,10.31,13.8161,13.8161,0.0000,12429289766
12600,3145227,34320970,39159146792,10.31,13.8473,13.8473,0.0000,12489492253
12660,2973549,34394397,39346212121,10.31,13.8731,13.8731,0.0000,12549195515
12720,3214194,34465288,39533667132,10.31,13.8988,13.8988,0.0000,12609112429
12780,3206934,34536251,39722784366,10.31,13.9261,13.9261,0.0000,12669473061
12840,3204518,34595541,39911356971,10.31,13.9469,13.9469,0.0000,12729657101
12900,3209575,34647333,40102311709,10.31,13.9626,13.9626,0.0000,12790473204
12960,3143724,34708666,40292045563,10.87,13.9842,13.9842,0.0000,12850917836
13020,3216027,34756598,40481167466,10.87,13.9986,13.9986,0.0000,12911201265
13080,3218199,34819071,40670172675,10.87,14.0194,14.0194,0.0000,12971581538
13140,3170744,34972682,40859551890,10.87,14.0549,14.0549,0.0000,13031962628
13200,3144155,35090730,41048739434,10.87,14.0863,14.0863,0.0000,13092304342
13260,3134367,35173199,41236709995,10.87,14.1113,14.1113,0.0000,13152265774
13320,3075014,35296571,41424254001,10.87,14.1451,14.1451,0.0000,13212108489
13380,3150572,35389751,41611119341,10.87,14.1759,14.1759,0.0000,13271779245
13440,3186611,35472645,41800295786,10.87,14.2019,14.2019,0.0000,13332060214
13500,3211531,35562801,41989561488,10.87,14.2296,14.2296,0.0000,13392376602
13560,3217565,35633257,42180338244,10.87,14.2507,14.2507,0.0000,13453177091
13620,3214598,35710753,42369466707,10.87,14.2736,14.2736,0.0000,13513614328
13680,3209086,35759778,42560485680,10.87,14.2889,14.2889,0.0000,13574534727
13740,3129778,35840928,42749204931,10.87,14.3042,14.3042,0.0000,13634749541
13800,3166372,35942591,42937503738,10.87,14.3302,14.3302,0.0000,13694819974
13860,3138017,36042879,43124810010,10.87,14.3581,14.3581,0.0000,13754579197
13920,3129154,36124917,43311928940,10.87,14.3840,14.3840,0.0000,13814428374
13980,3136724,36201500,43499635365,10.87,14.4044,14.4044,0.0000,13874438970
14040,3125117,36271972,43686275090,10.87,14.4234,14.4234,0.0000,13934165138
