"runtime","fps","found","explored","disk_usage","hash_load_factor","collisions"
60,3065565,2149256,182232246,9.07,1.9740,58057280
120,2956479,3077347,365364217,9.07,2.7709,117609112
180,3081737,3877365,550243622,9.07,3.4379,177981599
240,3067008,4524297,732119314,9.07,3.9780,237541844
300,3062899,5137579,915891576,9.07,4.4885,297700122
360,3083950,5735483,1098739237,9.07,4.9763,357673584
420,3069772,6272336,1280366306,9.07,5.4077,417230025
480,2988994,6665994,1461579205,9.07,5.7267,476675890
540,3134896,7055114,1643179588,9.07,6.0339,536312074
600,3085822,7432227,1826902072,9.07,6.3407,596714981
660,2950711,7697785,2009422738,9.07,6.5585,656900975
720,3003748,8059371,2191628670,9.07,6.8318,716817417
780,3049096,8405343,2374299340,9.07,7.0801,776780180
840,2996930,8747535,2554808172,9.07,7.3506,836067170
900,3093750,9031544,2737007405,9.07,7.5836,895973720
960,2938139,9347721,2918249416,9.07,7.8263,955608023
1020,3105999,9575025,3100037730,9.07,7.9982,1015541701
1080,3090361,9875297,3282912354,9.07,8.2114,1075762608
1140,3078119,10165111,3465992219,9.07,8.4297,1136062022
1200,3040556,10388600,3647846535,9.07,8.6049,1195939036
1260,3058122,10613693,3831743403,9.07,8.7753,1256483568
1320,3064721,10818504,4015020147,9.07,8.9368,1316920625
1380,3136444,11026380,4198032824,9.07,9.0925,1377256257
1440,3093084,11264990,4380177535,9.07,9.2689,1437249984
1500,2935922,11564090,4560900371,9.07,9.5034,1496693697
1560,3096262,11845040,4742307253,9.07,9.7104,1556471477
1620,2994654,12070236,4923881746,9.07,9.8804,1616419886
1680,3136856,12260857,5105518310,9.07,10.0145,1676329806
1740,3120720,12470743,5286857428,9.07,10.1641,1736098359
1800,3038627,12655829,5470448094,9.07,10.3018,1796484197
1860,3089930,12814895,5653082329,9.07,10.4194,1856683134
1920,2900635,12948955,5835169520,9.07,10.5174,1916678882
1980,3133999,13126017,6016739856,9.07,10.6513,1976528154
2040,3171968,13316067,6201452605,9.07,10.7941,2037512236
2100,3125743,13495584,6384435726,9.07,10.9354,2097879655
2160,3032565,13725271,6565503053,9.07,11.0808,2157610865
2220,3042686,13959841,6748882795,9.07,11.2286,2218048103
2280,2984293,14218312,6930202048,9.07,11.4073,2277733185
2340,2965660,14394051,7112789785,9.07,11.5364,2337993333
2400,3018468,14575922,7294983321,9.07,11.6619,2398073183
2460,3056428,14743625,7477003074,9.07,11.7744,2458104798
2520,2981918,14917660,7659463725,9.07,11.8927,2518264415
2580,2975156,15095819,7840694555,9.07,12.0253,2577858354
2640,2941155,15231710,8023733587,9.07,12.1243,2638117877
2700,3074419,15385830,8209300214,9.07,12.2351,2699283021
2760,3047196,15510835,8393916290,9.07,12.3225,2760149920
2820,3021072,15681896,8577697414,9.07,12.4423,2820663205
2880,3068598,15846449,8761166591,9.07,12.5624,2881115795
2940,2978783,16008855,8944720797,9.07,12.6781,2941689460
3000,3185255,16139422,9127181345,9.07,12.7740,3001888995
3060,3106930,16280854,9309956365,9.07,12.8773,3062215045
3120,2958054,16414617,9491027017,9.07,12.9723,3121836235
3180,3048965,16560468,9674442712,9.07,13.0719,3182377407
3240,3119716,16674283,9857182415,9.07,13.1511,3242752923
3300,3084019,16806279,10038767572,9.07,13.2524,3302511982
3360,2988238,16943552,10221628542,9.07,13.3581,3362943478
3420,2932588,17089443,10400968797,9.07,13.4614,3422207379
3480,3011009,17213201,10583909886,9.07,13.5457,3482448045
3540,2993378,17409744,10766855963,9.07,13.6937,3542769458
3600,3149699,17602637,10950727126,9.07,13.8393,3603213292
3660,3155680,17737789,11097832272,9.07,13.9366,3651679969
3720,3081858,17873556,11280807626,9.64,14.0431,3711876170
3780,3018934,18051396,11463793788,9.64,14.1826,3772259080
3840,3059721,18245536,11646109962,9.64,14.3406,3832334529
3900,2926463,18405137,11829053319,9.64,14.4665,3892517149
3960,3080433,18574993,12011583376,9.64,14.5988,3952651295
4020,3027726,18707933,12194686885,9.64,14.6966,4012950175
4080,2917532,18872912,12376551248,9.64,14.7989,4072844036
4140,3189117,19029369,12559427071,9.64,14.9091,4133087893
4200,3113574,19178447,12741952476,9.64,15.0222,4193243030
4260,2993631,19336640,12923705718,9.64,15.1418,4253246621
4320,3081735,19477343,13104788876,9.64,15.2477,4313047247
4380,3237692,19685997,13287802171,9.64,15.4051,4373302039
4440,3140647,19832456,13470108614,9.64,15.5183,4433438292
4500,3067475,19946182,13653868876,9.64,15.6033,4494091009
4560,2988202,20068607,13837341282,9.64,15.6871,4554715633
4620,3087251,20207097,14019136869,9.64,15.7860,4614614443
4680,3049184,20337958,14199922880,9.64,15.8801,4674140645
4740,3020105,20472293,14382827384,9.64,15.9788,4734381872
4800,3084208,20631859,14566888327,9.64,16.1007,4795054048
4860,3005788,20857236,14749573625,9.64,16.2004,4855193431
4920,3127069,20973897,14933225113,9.64,16.2736,4915685144
4980,3066136,21121132,15116395032,9.64,16.3774,4976120643
5040,3153220,21228542,15300161712,9.64,16.4553,5036773300
5100,3043681,21337135,15481793509,9.64,16.5289,5096598090
5160,2959492,21443836,15665368645,9.64,16.6022,5157048491
5220,2926186,21581580,15847133550,9.64,16.6878,5216904518
5280,3202542,21712778,16027449602,9.64,16.7762,5276358178
5340,2977498,21823898,16209740027,9.64,16.8549,5336487334
5400,2958818,21950078,16395646147,9.64,16.9376,5397805180
5460,2996322,22079133,16577987375,9.64,17.0289,5458009277
5520,3047502,22182417,16761295046,9.64,17.1029,5518603457
5580,2872866,22292458,16943298812,9.64,17.1790,5578788814
5640,2991643,22376459,17126059139,9.64,17.2399,5639268233
5700,2995455,22458750,17309184628,9.64,17.2997,5699700013
5760,3035394,22574475,17491586869,9.64,17.3929,5759946070
5820,3114862,22676752,17676929711,9.64,17.4656,5821049121
5880,3036242,22781958,17859991701,9.64,17.5405,5881399742
5940,3006099,22902659,18044345687,9.64,17.6370,5942197272
6000,3016762,23044318,18227257471,9.64,17.7244,6002516455
6060,3050230,23249824,18407857063,9.64,17.8224,6061972125
6120,3073797,23381513,18587744422,9.64,17.9043,6121436890
6180,3152450,23501101,18771467444,9.64,17.9779,6182087380
6240,3102226,23607005,18953005559,9.64,18.0471,6242176396
6300,3107388,23715698,19137052515,9.64,18.1162,6303039800
6360,3014152,23824505,19320683320,9.64,18.1949,6363642896
6420,3110742,23945162,19502529100,9.64,18.2791,6423745941
6480,2899038,24028790,19683945921,9.64,18.3398,6483650987
6540,3079237,24128074,19868649605,9.64,18.4104,6544688479
6600,3051219,24244496,20050466502,9.64,18.5008,6604960497
6660,3011271,24357577,20231516799,9.64,18.5799,6664819472
6720,3022321,24473889,20413567864,9.64,18.6655,6725065677
6780,3000847,24601302,20595143142,9.64,18.7602,6785050303
6840,3086155,24717061,20777084843,9.64,18.8359,6845127349
6900,3077181,24823128,20960495908,9.64,18.9033,6905864179
6960,3230760,24956805,21144984555,9.64,18.9912,6966888996
7020,3088970,25085879,21330294473,9.64,19.0783,7028138656
7080,3056029,25212760,21515699037,9.64,19.1643,7089316862
7140,3017576,25337035,21699423310,9.64,19.2458,7150010348
7200,3013997,25477412,21883185055,9.64,19.3294,7210761059
7260,3062892,25555128,22019760300,9.64,19.3827,7255918351
7320,3133932,25675531,22204128604,9.64,19.4672,7316899391
7380,3082226,25774113,22387227757,9.64,19.5300,7377365143
