"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
60,0,2355151,35000010,10.22,1.3709,1.3709,15.0000,23339618
120,0,3066759,55000010,10.22,1.7435,1.7435,15.0000,37176533
180,0,3884250,85000010,10.22,2.1315,2.1315,15.0000,57964502
240,1754560,4599186,118694942,10.22,2.4728,2.4728,8.6949,81444371
300,0,5340622,155000010,10.22,2.8263,2.8263,15.0000,106813514
360,0,5914408,185000010,10.22,3.0766,3.0766,15.0000,127648688
420,0,6614836,225000010,10.22,3.3896,3.3896,15.0000,155116792
480,0,7116791,255000010,10.22,3.6193,3.6193,15.0000,175516292
540,0,7494059,285000010,10.22,3.7801,3.7801,15.0000,196111027
600,0,7706086,305000010,10.22,3.8672,3.8672,15.0000,209949030
660,0,8050997,335000010,10.22,4.0175,4.0175,15.0000,230704031
720,0,8409692,365000010,10.22,4.1868,4.1868,15.0000,251472172
780,0,8793526,395000010,10.22,4.3687,4.3687,15.0000,272042710
840,0,9084067,425000010,10.22,4.5026,4.5026,15.0000,292464993
900,0,9350370,455000010,10.22,4.6134,4.6134,15.0000,313246279
960,1570971,9602109,483451643,10.22,4.7152,4.7152,13.4516,332945188
1020,1568822,9869234,512261070,10.22,4.8233,4.8233,12.2611,352616993
1080,0,10081757,535000010,10.22,4.9114,4.9114,15.0000,368163852
1140,0,10383860,565000010,10.22,5.0388,5.0388,15.0000,388431826
1200,0,10525666,585000010,10.22,5.0893,5.0893,15.0000,402230339
1260,0,10795780,615000010,10.22,5.1852,5.1852,15.0000,423109736
1320,0,10947766,635000010,10.22,5.2495,5.2495,15.0000,436947309
1380,0,11157159,665000010,10.22,5.3292,5.3292,15.0000,457738841
1440,0,11345492,685000010,10.22,5.3872,5.3872,15.0000,471489906
1500,0,11601268,715000010,10.22,5.4691,5.4691,15.0000,491978518
1560,0,11738532,735000010,10.22,5.5110,5.5110,15.0000,505774250
1620,0,11945923,765000010,10.22,5.5778,5.5778,15.0000,526850357
1680,0,12091957,785000010,10.22,5.6246,5.6246,15.0000,540659190
1740,0,12235232,805000010,10.22,5.6703,5.6703,15.0000,554443669
1800,1565661,12421206,833201496,10.22,5.7382,5.7382,13.2015,573905606
1860,1508262,12546971,854034215,10.22,5.7764,5.7764,14.0342,588311970
1920,1664551,12632221,870934092,10.22,5.8040,5.8040,10.9341,599992130
1980,0,12789137,895000010,10.22,5.8533,5.8533,15.0000,616720217
2040,1750020,12994659,929820332,10.22,5.9196,5.9196,9.8203,640528123
2100,0,13185187,955000010,10.22,5.9959,5.9959,15.0000,657945595
2160,0,13322601,975000010,10.22,6.0514,6.0514,15.0000,671631329
2220,0,13443894,995000010,10.22,6.1033,6.1033,15.0000,685346757
2280,0,13578347,1015000010,10.22,6.1549,6.1549,15.0000,699109186
2340,1642330,13747353,1042186642,10.22,6.2224,6.2224,12.1866,717942278
2400,1694290,13874878,1061166103,10.22,6.2715,6.2715,11.1661,731007554
2460,0,14027171,1085000010,10.22,6.3302,6.3302,15.0000,747856247
2520,0,14124713,1105000010,10.22,6.3687,6.3687,15.0000,761809978
2580,0,14244891,1125000010,10.22,6.4143,6.4143,15.0000,775764255
2640,0,14361672,1145000010,10.22,6.4556,6.4556,15.0000,789505569
2700,1906580,14477609,1168065923,10.22,6.4991,6.4991,8.0659,805219999
2760,0,14662965,1195000010,10.22,6.5781,6.5781,15.0000,823943911
2820,0,14797361,1215000010,10.22,6.6394,6.6394,15.0000,837515855
2880,0,14908514,1235000010,10.22,6.6858,6.6858,15.0000,851061581
2940,0,15011703,1255000010,10.22,6.7250,6.7250,15.0000,864629542
3000,0,15128319,1275000010,10.22,6.7637,6.7637,15.0000,878165586
3060,0,15228577,1295000010,10.22,6.8027,6.8027,15.0000,891744216
3120,1888536,15321054,1318600915,10.22,6.8368,6.8368,8.6009,907773352
3180,0,15398383,1335000010,10.22,6.8641,6.8641,15.0000,919285053
